TTKKQK,2013,6.0,"11, 14, 51, 63, 75, 89"
TTKKKJ,2103,13.0,"15, 16, 22, 31, 33, 45, 52, 61, 72, 82, 88, 96, 99"
TTKKKK,2004,8.0,"17, 28, 37, 43, 56, 59, 73, 79"
TJTTTJ,4200,5.0,"51, 66, 71, 86, 96"
TJTTTK,4101,4.0,"21, 64, 78, 81"
TJTTJJ,3300,3.0,"29, 34, 97"
TJTTJK,3201,4.0,"48, 59, 74, 99"
TJTTQJ,3210,9.0,"19, 27, 52, 55, 72, 73, 81, 87, 96"
TJTTQK,3111,6.0,"25, 29, 41, 64, 95, 98"
TJTTKJ,3201,7.0,"18, 21, 69, 74, 81, 84, 87"
TJTTKK,3102,3.0,"15, 33, 37"
TJTJTJ,3300,5.0,"31, 38, 79, 86, 95"
TJTJTK,3201,7.0,"27, 32, 44, 53, 66, 69, 99"
TJTJJJ,2400,6.0,"25, 31, 49, 66, 76, 78"
TJTJJK,2301,10.0,"13, 16, 32, 62, 65, 68, 79, 85, 86, 95"
TJTJQJ,2310,4.0,"36, 68, 71, 72"
TJTJQK,2211,7.0,"39, 42, 46, 61, 63, 79, 81"
TJTJKJ,2301,9.0,"23, 26, 31, 34, 35, 47, 59, 76, 94"
TJTJKK,2202,6.0,"14, 18, 29, 33, 77, 84"
TJTQTJ,3210,6.0,"19, 67, 72, 76, 84, 85"
TJTQTK,3111,10.0,"19, 23, 38, 46, 56, 65, 67, 68, 79, 82"
TJTQJJ,2310,2.0,"87, 93"
TJTQJK,2211,6.0,"31, 33, 45, 57, 67, 85"
TJTQQJ,2220,9.0,"14, 26, 35, 43, 64, 67, 82, 85, 92"
TJTQQK,2121,7.0,"14, 15, 23, 35, 78, 83, 87"
TJTQKJ,2211,8.0,"13, 19, 34, 63, 64, 79, 96, 99"
TJTQKK,2112,3.0,"17, 62, 88"
TJTKTJ,3201,5.0,"21, 35, 57, 75, 93"
TJTKTK,3102,5.0,"28, 34, 55, 69, 84"
TJTKJJ,2301,7.0,"26, 41, 56, 59, 61, 83, 94"
TJTKJK,2202,3.0,"11, 68, 71"
TJTKQJ,2211,6.0,"27, 49, 52, 55, 69, 78"
TJTKQK,2112,10.0,"16, 25, 44, 59, 62, 68, 71, 73, 83, 97"
TJTKKJ,2202,5.0,"12, 26, 59, 78, 81"
TJTKKK,2103,8.0,"16, 28, 39, 46, 67, 76, 79, 91"
TJJTTJ,3300,4.0,"16, 32, 49, 98"
TJJTTK,3201,3.0,"17, 21, 33"
TJJTJJ,2400,4.0,"54, 75, 76, 91"
TJJTJK,2301,7.0,"35, 37, 38, 64, 68, 79, 86"
TJJTQJ,2310,6.0,"24, 26, 29, 39, 57, 81"
TJJTQK,2211,11.0,"12, 15, 16, 24, 27, 31, 52, 69, 85, 91, 94"
TJJTKJ,2301,6.0,"13, 17, 34, 43, 64, 68"
TJJTKK,2202,7.0,"11, 18, 27, 41, 56, 57, 59"
TJJJTJ,2400,7.0,"22, 37, 42, 54, 84, 85, 88"
TJJJTK,2301,6.0,"16, 26, 31, 38, 41, 92"
TJJJJJ,1500,8.0,"17, 24, 33, 51, 57, 71, 92, 96"
TJJJJK,1401,5.0,"24, 49, 61, 84, 99"
TJJJQJ,1410,6.0,"38, 47, 61, 67, 74, 97"
TJJJQK,1311,11.0,"23, 24, 26, 29, 36, 47, 54, 66, 69, 71, 74"
TJJJKJ,1401,12.0,"15, 18, 22, 27, 31, 36, 55, 61, 72, 73, 82, 88"
TJJJKK,1302,5.0,"25, 32, 55, 91, 95"
TJJQTJ,2310,7.0,"15, 33, 38, 39, 62, 66, 81"
TJJQTK,2211,2.0,"15, 51"
TJJQJJ,1410,7.0,"25, 29, 64, 73, 86, 94, 97"
TJJQJK,1311,6.0,"14, 27, 57, 65, 74, 81"
TJJQQJ,1320,8.0,"22, 25, 31, 36, 49, 51, 78, 84"
TJJQQK,1221,9.0,"13, 22, 29, 34, 56, 61, 62, 71, 97"
TJJQKJ,1311,5.0,"23, 33, 83, 84, 92"
TJJQKK,1212,8.0,"12, 13, 21, 28, 48, 67, 72, 79"
TJJKTJ,2301,6.0,"14, 17, 31, 34, 67, 98"
TJJKTK,2202,8.0,"36, 44, 48, 54, 63, 65, 72, 98"
TJJKJJ,1401,7.0,"15, 37, 39, 55, 57, 96, 97"
TJJKJK,1302,6.0,"37, 49, 55, 61, 67, 83"
TJJKQJ,1311,8.0,"23, 32, 35, 54, 65, 77, 84, 96"
TJJKQK,1212,2.0,"24, 94"
TJJKKJ,1302,5.0,"17, 26, 47, 67, 95"
TJJKKK,1203,2.0,"66, 86"
TJQTTJ,3210,5.0,"28, 36, 52, 76, 84"
TJQTTK,3111,6.0,"23, 26, 31, 53, 62, 73"
TJQTJJ,2310,5.0,"39, 41, 59, 66, 92"
TJQTJK,2211,8.0,"34, 39, 45, 48, 49, 72, 84, 99"
TJQTQJ,2220,6.0,"41, 52, 62, 73, 76, 91"
TJQTQK,2121,7.0,"12, 14, 18, 57, 63, 68, 84"
TJQTKJ,2211,7.0,"15, 19, 22, 33, 75, 84, 97"
TJQTKK,2112,11.0,"23, 35, 46, 47, 55, 56, 65, 77, 83, 94, 95"
TJQJTJ,2310,6.0,"39, 62, 65, 69, 86, 87"
TJQJTK,2211,6.0,"36, 42, 55, 69, 88, 97"
TJQJJJ,1410,4.0,"76, 82, 86, 92"
TJQJJK,1311,4.0,"32, 54, 66, 77"
TJQJQJ,1320,6.0,"24, 28, 31, 34, 42, 51"
TJQJQK,1221,6.0,"22, 28, 37, 59, 65, 91"
TJQJKJ,1311,9.0,"14, 32, 33, 65, 66, 71, 72, 93, 98"
TJQJKK,1212,5.0,"22, 31, 36, 82, 87"
TJQQTJ,2220,7.0,"31, 38, 52, 59, 76, 79, 95"
TJQQTK,2121,6.0,"15, 24, 33, 35, 72, 98"
TJQQJJ,1320,6.0,"46, 66, 67, 79, 85, 94"
TJQQJK,1221,10.0,"14, 17, 26, 28, 43, 58, 59, 61, 65, 86"
TJQQQJ,1230,7.0,"26, 36, 41, 54, 63, 66, 98"
TJQQQK,1131,6.0,"21, 25, 31, 57, 67, 94"
TJQQKJ,1221,4.0,"28, 31, 53, 71"
TJQQKK,1122,7.0,"23, 33, 36, 54, 62, 92, 95"
TJQKTJ,2211,6.0,"34, 48, 69, 82, 94, 99"
TJQKTK,2112,4.0,"47, 59, 71, 92"
